SNo,Project Name,Scheme Name,PI Details
1,New Generation Innovation and Entrepreneurship Development Centre (NewGen IEDC),"Innovation, Technology Development and Deployment","Dr.Ramabadran Ganesh Narayanan, Dept. of Mechanical Engineering"
2,Setting- up Rural Technology Action Group - North East (RuTAG-NE),RuTAG,"Prof. S. K. Kakoty, School of Agro and Rural Technology"
3,Scheme for Financial Assistance for Setting up of Electronics and ICT Academics,Capacity Building and Skill Development Scheme,"Dr. Gaurav Trivedy, Dept. of EEE"
4,"Support to TePP Outreach cum Cluster Innovation Centre (TOCIC) at Indian Institute of Technology Guwahati under Promoting Innovations in Individuals, Start-ups and MSMEs (PRISM) scheme of DSIR",Industrial Research and Development,"Dr. Sukhomay Paul, Dept. of Mechanical Engineering"
5,Establishment of Research Parks under the ‘Start-up India Initiative in Higher Educational Institutions (SIIHEI),National Initiative for Technology Transfer,"Professor-In-charge, IIT Guwahati Research Park"
6,"To design, develop and disseminate the modified bicycle as a rural vending cart",Innovation Technology Development and Deployment,"Prof. S. K. Kakoty, School of Agro and Rural Technology"
7,Space Technology Cell IIT Guwahati,Space Science Promotion,"Prof. Subashisa Dutta, Professor-in-charge, STC IIT Guwahati"
8,Origami inspired three - phase auxetic metamaterial composite for developing orthotic insole and performance studies using gait and motion analysis,,"Prof. S. Kanagaraj, Dept. of Mechanical Engineering"
9,Intel Center for Excellence on FPGA and Embedded Electronics Systems (Intel Fame Labs),,"Prof. Gurav Trivedi, Dept. of EEE"
10,Performance Evaluation and standardization of a canister-based methanol cook-stove for household application,,"Prof. P. Muthukumar, Dept. of Mechanical Engineering"
11,Design of a cervical bone fixture and testing of an atlantoaxial joint,,"Prof. S. Kanagaraj, Dept. of Mechanical Engineering"
12,Recycling of Fiber (Carbon & Glass) reinforced Plymer Composites,,"Dr. Pankaj Tiwari, Dept. of Chemical Engineering"
13,Quantification of information Leakage and Security Verification of compiler Optimizations,,"Dr. Chandan Karfa, Dept. of CSE"
14,Development of training cum production unit of bell metal items,,"Prof. Sashindra Kumar Kakoty, School of Agro and Rural Technology"
15,Machine Learning based output prediction of RTL model for faster simulation based verification,,"Dr. Chandan Karfa, Dept. of CSE"
16,"Affordable portable multi Diagnostic device for detection of 5 Biomarkers Albumin, Cholesterol, Uric Acid, Triglyceride & Glucose",Small Business Innovation Research Initiative (SBIRI),"Prof. Dipankar Bandypadhyay, Centre for Nanotechnology"
17,Technology for Underwater Exploration,,"Prof. Santosha Kumar Dwivedy, Centre for Intelligent Cyber Physical Systems"
18,Enabling Hardware Accelerator Design from Behavioral Specifications,,"Dr. Chandan Karfa, Dept. of CSE"
19,Industrial Energy Assessments,,"Dr. Prakash Kotecha, Dept. of Chemical Engineering"
20,Sustainable Pre-mix Material for concrete 3D Printing Apllication,,"Dr. Biranchi Narayan Panda, Dept. of Mechanical Engineering"
21,Study of Peak Shaving in Drilling Rigs,,"Dr. Shabari Nath, Dept. of EEE"
22,Program Support for training and capacity Building in North East India,Biotechnology Research and Development,"Prof. G. Krishnamoorthy, Dept. of Chemistry"
23,Development of coupled finite volume method-direct simulation Monte Carlo (FVM-DSMC) code for continuum-rarefied mix flow,,"Dr. Tapan Krishnakumar Mankodi, Dept. of EEE"
24,"Design, fabrication and calibration of a coaxial surface junction thermocouple for transient heat flux measurement in hypersonic shock tube/tunnels",,"Dr. Niranjan Sahoo, Dept. of Mechanical Engineering"
25,Design and Development of a Demonstration Plant for the production of marketable Grade Green Activated Carbon from Bamboo Dust,,"Prof. Senthilmurugan Subbiah, Dept. of Chemical Engineering"
26,Development of membrane-based vaporizer for anaesthesia,,"Prof. Senthilmurugan Subbiah, Dept. of Chemical Engineering"
27,Focussed Development Program (FDP)Enhancing Agriculture & Agri-Residue-Based Enterprise Development through Farmer Producer Organizations (FPOs),,"Dr. Siddhartha Singha, School of Agro and Rural Technology"
28,Byzantine-Robust and Communication-Efficient Federated Learning for IoT Networks,TIH-IoT Technology Development Program (6) 2023 (TIH-IoT TDP 6),"Dr. Arghyadip Roy, Mehta Family School of Data Science and Artificial Intelligence"
29,Designing and developing of a bamboo carbonization process,,"Prof. Vaibhav Vasant Goud, School of Energy Science and Engineering"
30,Design of the IPs of post-quantum-cryptography algorithms on FPGAs and development of its software library using C/C++/Python,,"Dr. Gaurav Trivedi, Dept. of EEE"
31,Hybrid Separation Process for valuable recovery and Water reuse for process industries by adopting water and energy pinch (HySepWater),"Innovation, Technology Development and Deployment","Prof. Senthilmurugan Subbiah, Dept. of Chemical Engineering"
32,STUDY AND TRIAL OF MARGINAL MATERIAL AS PER IRC SP 89 (PART-II) 2018 FOR STABILIZATION OF SUB BASE/BASE FOR ROADS OF BRO PROJECTS,,"Dr. Anjan Kumar Siddagangaiah, Dept. of Civil Engineering"
33,Joint Sensing and Communication: Development of Reliable Machine Learning Techniques and Performance Analysis,,"Dr. Manoj B R, Dept. of EEE"
34,Study on surfactant recovery from laundry grey water using a membrane process,,"Prof. Senthilmurugan Subbiah, Dept. of Chemical Engineering"
35,Rural Technology Action Group 2.0 RuTAG 2.0,RuTAG,"Prof. S. K. Kakoty, School of Agro and Rural Technology"
36,Preparation of Detailed Project Report (DPR) for WASH Experience and Knowledge Center,,"Dr. Keyur Babulal Sorathia, Dept. of Design"
37,Electronics & ICT Academy Scheme-II,“Capacity Building and Skill Development” sub-scheme of “Digital India Programme (DIP)”,"Dr. Gaurav Trivedi, Centre for Educational Technology"
